"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","17026","304","5745","18115","1578"
"02","16208","275","5518","17558","1554"
"03","17022","310","5918","17528","1569"
"04","17992","303","6230","18630","1783"
"05","18636","309","6559","19409","1866"
"06","18082","266","6304","18410","1860"
"07","18699","315","6325","19860","1919"
"08","18335","357","6270","19554","1925"
"09","18371","348","6418","19513","1820"
"10","19738","373","6773","20248","1815"
"11","19029","298","6515","19668","1817"
"12","18010","323","5683","19018","1762"
