"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","16970","353","6219","18159","1721"
"02","14832","280","5349","15588","1386"
"03","17047","295","6268","17157","1621"
"04","17717","293","6510","18238","1782"
"05","18502","366","6884","18493","1891"
"06","18047","315","6578","18087","1789"
"07","18158","357","6387","19105","1870"
"08","18682","353","6713","19608","1841"
"09","19891","419","7115","20190","2066"
"10","18863","420","7084","19700","1914"
"11","19377","379","6841","19824","1807"
"12","18249","355","6264","19051","1729"
