"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","16818","418","7811","17526","944"
"02","16656","393","7644","17287","1067"
"03","18255","403","8314","18513","1072"
"04","19372","483","8656","19652","1320"
"05","19672","444","9385","19481","1297"
"06","18854","476","8753","18250","1311"
"07","19333","416","8631","19619","1392"
"08","18407","409","8153","19514","1384"
"09","19234","486","8427","19641","1394"
"10","19557","533","9020","19304","1435"
"11","19750","508","8931","19709","1414"
"12","17748","423","7978","19094","1242"
